key,value,来源小黑盒 雾东军: 58032429
Item_Helmat_SBossElec_ResSpace,比利头盔
Item_Stock_Rifle_Lv_2,步枪枪托 Lv2
Item_Stock_Rifle_Lv_3,步枪枪托 Lv3
Item_Stock_Shot_Lv__1,霰弹枪托 Lv1
Item_Stock_Shot_Lv_2,霰弹枪托 Lv2
Item_Stock_Shot_Lv_3,霰弹枪托 Lv3
Item_Stock_SMG_Lv__1,冲锋枪枪托 Lv1
Item_Stock_SMG_Lv_2,冲锋枪枪托 Lv2
Item_Stock_SMG_Lv_3,冲锋枪枪托 Lv3
Item_Stock_Sniper_Lv__1,狙击枪枪托 Lv1
Item_Stock_Sniper_Lv_2,狙击枪枪托 Lv2
Item_Stock_Sniper_Lv_3,狙击枪枪托 Lv3
Item_Tec_Lazer_Lv__1,战术激光 Lv1
Item_Tec_Lazer_Lv_2,战术激光 Lv2
Item_Tec_Lazer_Lv_3,战术激光 Lv3
Item_Tec_Light_Lv__1,战术手电 Lv1
Item_Tec_Light_Lv_2,战术手电 Lv2
Item_Tec_Light_Lv_3,战术手电 Lv3
Item_Magazine_Rifle_Lv__1,大口径扩容弹匣 Lv1
Item_Magazine_Rifle_Lv_2,大口径扩容弹匣 Lv2
Item_Magazine_Rifle_Lv_3,大口径扩容弹匣 Lv3
Item_Magazine_SMG_Lv__1,小口径扩容弹匣 Lv1
Item_Magazine_SMG_Lv_2,小口径扩容弹匣 Lv2
Item_Magazine_SMG_Lv_3,小口径扩容弹匣 Lv3
Item_L_AK102_Lv_2,AK-103
Item_L_AK47_Lv_2,AK-47
Item_L_MF_Lv_2,MF
Item_L_RPK_Lv_2,RPK
Item_Sniper_VPO,VPO-101
Item_Shot_Hand_Lv_2,土制猎枪
Item_Shot_MP155_Lv_2,MP-155
Item_S_AK74_Lv_2,AK-74U
Item_S_GLick_Lv_2,格力克
Item_S_MMG_Lv_2,MMG
Item_S_MP7_Lv_2,MP7
Item_S_UAK45_Lv_2,UP-45
Item_S_UZI_Lv_2,UZI
Item_Grip_AS_Lv_4,突击握把 Lv4
Item_Grip_SP_Lv_4,快拆握把 Lv4
Item_Grip_Verticle_Lv_4,垂直握把 Lv4
Item_Magazine_Rifle_Lv_4,大口径扩容弹匣 Lv4
Item_Magazine_SMG_Lv_4,小口径扩容弹匣 Lv4
Item_Muzzle_L_Type_4,大口径制退器 Lv.4
Item_Muzzle_Shot_Type_4,霰弹枪集束器 Lv.4
Item_Muzzle_Sniper_Type_4,狙击枪消音器 Lv.4
Item_Muzzle_S_Type_4,小口径制退器 Lv.4
Item_Scope_4X_Lv_4,4倍镜 Lv4
Item_Scope_8X_Lv_4,8倍镜 Lv4
Item_Scope_Digit_Lv_4,数字瞄具 Lv4
Item_Scope_Holo_Lv_4,全息瞄具 Lv4
Item_Scope_Long_Lv_4,快速瞄具 Lv4
Item_Scope_RedDot_Lv_4,红点瞄具 Lv4
Item_Stock_Rifle_Lv_4,步枪枪托 Lv4
Item_Stock_Shot_Lv_4,霰弹枪托 Lv4
Item_Stock_SMG_Lv_4,冲锋枪枪托 Lv4
Item_Stock_Sniper_Lv_4,狙击枪枪托 Lv4
Item_Tec_Lazer_Lv_4,战术激光 Lv4
Item_Tec_Light_Lv_4,战术手电 Lv4
Item__1_Blueprint,蓝图模板
Item_BP_AK102,蓝图：AK-103
Item_BP_AK47,蓝图：AK-47
Item_BP_AK74U,蓝图：AK-74U
Item_BP_HAND,蓝图：土制猎枪
Item_BP_MF,蓝图：MF
Item_BP_MMG,蓝图：MMG
Item_BP_MP155,蓝图：MP-155
Item_BP_MP7,蓝图：MP7
Item_BP_RPK,蓝图：RPK
Item_BP_VPO,蓝图：VPO-101
Item_BP_UAK45,蓝图：UP-45
Item_BP_UZI,蓝图：UZI
Item_HardDrive,移动硬盘
Item_Quest_HardDrive_Dormitory,移动硬盘： 宿舍楼
Item_Quest_HardDrive_GasStation,移动硬盘：加油站录像
Item_FloppyDisk,J-Lab软盘
Item__1_EnemyGun_Template,枪
Item_PigKnife,切肉刀
Item_Axe,战斧
Item__1_Armor_Template,一级防弹衣
Item_ColdCore,冷核碎片
Item_FlamingCore,赤核碎片
Item_Key_Card_Factory,工厂门禁卡
Item_Key_Card_Factory_Uncrack,工厂门禁卡(加密)
Item_BP_Weapon_0_Basic,武器蓝图：基础
Item_BP_Weapon_2_Pro,武器蓝图：专业
Item_BP_Weapon__1_Advanced,武器蓝图：进阶
Item_BP_Weapon_3_Ultimate,武器蓝图： 终极
Item_Totem_Armor_2,图腾 : 甲胄 II
Item_Totem_Armor,图腾 : 甲胄 I
Item_Totem_Attack_2,图腾:进击 II
Item_Totem_Attack,图腾:进击 I
Item_Totem_MeleeAttack_2,图腾:战士 II
Item_Totem_MeleeAttack,图腾:战士 I
Item_Totem_Speed,图腾:轻盈
Item_Totem_Strong,图腾:健壮III
Item_Bullet_Rocket,火箭弹 Lv1
Item_Rocket_RPG_Lv__1,RPG-7
Item_GPU,显示卡
Item_PowerBank,充电宝
Item_InformationFiles,情报文件
Item_LEDX,LEDX皮肤透照仪
Item_Bolt,螺栓
Item_Bulb,灯泡
Item_Bulb2,节能灯
Item_Nut,螺母
Item_Cable,电源线
Item_Cables,电线
Item_CDDriver,CD驱动器
Item_CircuitBoard,电路板
Item_ElectricParts,电子元件
Item_FishingRod,简易鱼竿
Item_Bullet_AR_S_Poison,S-涂毒弹
Item_Bullet_AR_S_Electric,S-电击弹
Item_Bullet_AR_L_Electric,L-电击弹
Item_Bullet_AR_L_Space,L-空间弹
Item_Bullet_AR_S_Space,S-空间弹
Item_Bullet_SHOT_Piercing2,霰弹-穿甲弹
Item_AnimalWeapon,空手
Item_A_Bow_Lv__1,劣质弓
Item_Bullet_Arrow_Normal,木箭矢
Item_Key_GroundZero_GHouse,灰房子钥匙
Item_Key_GroundZero_Storage,杂物围栏钥匙
Item_Wood,木料
Item_MetalSlice,金属片
Item_Bullet_AR_L_Rusted,L-过期子弹
Item_Bullet_AR_S_Rusted,S-生锈子弹
Item_WoodStick,木棍
Item_Quest_Letter_EquipmentMercent,老朋友的信
Item_WeaponParts,武器零件
Item_Feather,虚化的羽毛
Item_Totem_NoBleed,图腾：抗物I
Item_Totem_Marathon,图腾： 马拉松I
Item_Totem_Hunger,图腾：饥饿大师
Item_Totem_Stamina,图腾： 耐力
Item_Quest_Blueprint_TeleporterMachine,传送装置图纸
Item_Formula_WD40,配方：MD40
Item_Quest_GroundZero_Signal,农场镇传送密钥
Item_BP_RPG,蓝图：RPG发射器
Item_Formula_Trap,配方：捕兽夹
Item_Formula_WD40,配方：MD40
Item_Armor_Cai,背带衣
Item_Basketball,T.H篮球
Item_Formula_ArmorCai,配方： 背带衣
Item_Formula_Wrench03,配方：撬棍
Item_Formula_Cable,配方：  电源线
Item_Key_Machine,机械钥匙
Item_Quest_Watch,怀表
Item_Quest_List_GroundZeroGoods,货物清单
Item_Formula_CircuitBoard,配方：  电路板
Item_BitCoin,0.2BTC
Item_Quest_Letter_InShop,神秘留言
Item_Bullet_Energy_S,小型能量弹
Item_Energy_CubeGun,方块枪（电）
Item_BP_CubeGun,蓝图：方块枪
Item_BP_Bullet_Energy_S,蓝图： 小型能量弹药
Item_ComputeCore,计算核心
Item_Jin itaimei,黑色针剂
Item_Formula_Jin itaimei,配方： 黑色药剂
Item_BitcoinMiner,比特币矿机
Item_Injection_Weight,负重针
Item_Bullet_Arrow_Explosion,爆炸箭
Item_BP_ArrowExplosion,蓝图：爆炸箭
Item_BP_GPU_Potato,蓝图：土豆显卡
Item_GPU_Potato,土豆显卡
Item_Potato,土豆
Item_Bullet_SHOT_Rusted,霰弹-破烂
Item_BP_GasMask,蓝图： 防毒面具
Item_Bullet_Sniper_Rusted,狙击-劣质子弹
Item_Sniper_Balett,M107
Item_Injection_ElecResist,电抗性针
Item_Injection_PainResist,镇痛剂
Item_Formula_Injection_ElecResist,配方：抗电性针
Item_Formula_Injection_PainResist,配方：镇痛剂
Item_Magazine_Sniper_Lv__1,狙击枪弹匣 Lv1
Item_Magazine_Sniper_Lv_2,狙击枪弹匣 Lv2
Item_Magazine_Sniper_Lv_3,狙击枪弹匣 Lv3
Item_Magazine_Sniper_Lv_4,狙击枪弹匣 Lv4
Item_Muzzle_L_Slience__1,大口径消音器 Lv1
Item_Muzzle_L_Slience_2,大口径消音器 Lv2
Item_Muzzle_L_Slience_3,大口径消音器 Lv3
Item_Muzzle_L_Slience_4,大口径消音器 Lv4
Item_Muzzle_S_Slience__1,小口径消音器 Lv1
Item_Muzzle_S_Slience_2,小口径消音器 Lv2
Item_Muzzle_S_Slience_3,小口径消音器 Lv3
Item_Muzzle_S_Slience_4,小口径消音器 Lv4
Item_Note_BlackMarket,黑市联络笔记
Item_UDisk,加密U盘
Item_Key_HiddenWarehouse_Cellar,地窖钥匙
Item_Quest_Letter_HiddenWarehouse_Explorer,隐居者的信
Item_Water,瓶装水
Item_PowerOfWishlist,愿望单之力
Item_Totem_ElecResist_2,图腾:抗电 II
Item_Totem_ElecResist,图腾:抗电 I
Item_Totem_Heal,图腾：效率II
Item_Totem_RecoilControl,图腾：控枪III
Item_Totem_Reload,图腾： 战术换弹
Item_Totem_Ninja_2,图腾:忍者 II
Item_Totem_Ninja,图腾:忍者 I
Item_Sniper_VPO_Deng,VPO-劳登改
Item_Injection_HotBlood,热血针剂
Item_Formula_Injection_HotBlood,配方： 热血针剂
Item_Key_GasStation_Warehouse,废弃加油站钥匙
Item_Key_RedWareHosue_Warehouse,厂区办公室钥匙
Item_Key_SmallRoom_HiddenWarehouse,小隔间钥匙
Item_Key_HiddenWarehouse_Cellar_Wire,地窖围栏钥匙
Item_RedBag,红包
Item_LuckyNote__1,小纸条
Item_AncientCoins,铜钱串
Item_ChineseKnot,中国结
Item_ChineseLantern,红灯笼
Item_Dumpling,饺子
Item_S_GLick_Low,烂格力克
Item_Cash,现金
Item_Grip_ALL_ADS__1,快速握把A
Item_Grip_ALL_ADS_2,快速握把B
Item_Grip_ALL_REC__1,垂直握把I
Item_Grip_ALL_REC_2,水平握把I
Item_Grip_ALL_REC_3,平衡握把
Item_Grip_ALL_REC_4,垂直握把II
Item_Grip_ALL_REC_5,水平握把II
Item_Grip_ALL_SCA__1,腰射握把I
Item_Grip_ALL_SCA_3,腰射握把II
Item_Muzzle_PST_REC__1,手枪制退器-均衡A
Item_Muzzle_PST_REC_2,手枪制退器-均衡B
Item_Muzzle_PST_SIL__1,手枪消音器
Item_Muzzle_PST_DIS__1,手枪延长枪口
Item_Muzzle_PST_SCA__1,手枪制退器-散布
Item_Muzzle_SMG_REC__1,冲锋枪制退器-均衡A
Item_Muzzle_SMG_REC_2,冲锋枪制退器-均衡B
Item_Muzzle_SMG_REC_3,冲锋枪垂直制退器
Item_Muzzle_SMG_REC_4,冲锋枪水平制退器
Item_Muzzle_SMG_SCA__1,冲锋枪制退器-散布
Item_Muzzle_SMG_SCA_2,冲锋枪螺旋制退器
Item_Muzzle_SMG_SIL__1,冲锋枪消音器
Item_Muzzle_AR_DIS__1,步枪延长枪口
Item_Muzzle_AR_REC__1,步枪制退器-均衡A
Item_Muzzle_AR_REC_2,步枪制退器-均衡B
Item_Muzzle_AR_REC_3,步枪垂直制退器
Item_Muzzle_AR_REC_4,步枪水平制退器
Item_Muzzle_AR_SCA__1,步枪制退器-散布
Item_Muzzle_AR_SCA_2,步枪螺旋制退器
Item_Muzzle_AR_SIL__1,步枪消音器
Item_Muzzle_SNP_DIS__1,狙击枪延长枪口
Item_Muzzle_SNP_REC__1,狙击枪制退器-均衡A
Item_Muzzle_SNP_REC_3,狙击枪水平制退器
Item_Muzzle_SNP_SCA__1,狙击枪制退器-散布
Item_Muzzle_SNP_SCA_2,狙击枪制退器-机动
Item_Muzzle_SNP_SIL__1,狙击枪消音器
Item_Muzzle_SHT_REC__1,霰弹枪制退器-均衡A
Item_Stock_AR_MOV__1,快速枪托
Item_Stock_AR_REC__1,平衡枪托I
Item_Stock_AR_REC_2,平衡枪托II
Item_Stock_AR_REL__1,轻型枪托
Item_Stock_AR_SCA_3,腰射枪托I
Item_Stock_AR_SCA_4,控制枪托I
Item_Stock_AR_SCA_5,腰射枪托II
Item_Stock_SNP_REC_2,狙击枪平衡枪托II
Item_Stock_SNP_SCA_2,狙击枪控制枪托I
Item_Stock_SNP_SCA_4,狙击枪控制枪托II
Item_Magazine_PST_ADS__1,手枪快速弹匣I
Item_Magazine_PST_ADS_2,手枪快速弹匣II
Item_Magazine_PST_CAP__1,手枪扩容弹匣I
Item_Magazine_PST_CAP_2,手枪扩容弹匣II
Item_Magazine_SMG_ADS__1,冲锋枪快速弹匣I
Item_Magazine_SMG_CAP__1,冲锋枪扩容弹匣I
Item_Magazine_SMG_CAP_2,冲锋枪扩容弹匣II
Item_Magazine_SMG_CAP_3,冲锋枪扩容弹匣III
Item_Magazine_AR_ADS__1,步枪快速弹匣I
Item_Magazine_AR_ADS_2,步枪快速弹匣II
Item_Magazine_AR_CAP__1,步枪扩容弹匣I
Item_Magazine_AR_CAP_2,步枪扩容弹匣II
Item_Magazine_AR_CAP_3,步枪扩容弹匣III
Item_Magazine_SNP_ADS__1,狙击枪快速弹匣I
Item_Magazine_SNP_ADS_2,狙击枪快速弹匣II
Item_Magazine_SNP_CAP__1,狙击枪扩容弹匣I
Item_Magazine_SNP_CAP_2,狙击枪扩容弹匣II
Item_Magazine_SHT_CAP__1,霰弹枪扩容弹匣I
Item_Magazine_SHT_CAP_2,霰弹枪扩容弹匣II
Item_Magazine_SHT_CAP_3,霰弹枪扩容弹匣III
Item_Scope_AR_4X__1,步枪4倍镜
Item_Scope_SNP_8X__1,狙击枪8倍镜
Item_Scope_All_Digit__1,数字瞄具
Item_Scope_All_Holo__1,全息瞄具
Item_Scope_All_Long__1,快速瞄具
Item_Scope_All_RedDot__1,红点瞄具
Item_Scope_All_2X__1,2倍镜
Item_Tec_Laser_ADS__1,激光-机动
Item_Tec_Laser_ADS_2,激光-快反
Item_Tec_Laser_SCA__1,激光-基础
Item_Tec_Laser_SCA_2,激光-校准
Item_Tec_Flashlight_NON__1,战术手电
Item_Muzzle_SHT_SCA_3,霰弹枪制退器-机动
Item_Bullet_SMG_Rusted,S-生锈弹
Item_Bullet_SMG_Normal,S-普通弹
Item_Bullet_SMG_Burn,S-燃烧弹
Item_Bullet_SMG_Piercing3,S-中级穿甲弹
Item_Bullet_SMG_Piercing5,S-高级穿甲弹
Item_Bullet_SMG_Poison,S-毒性弹
Item_Bullet_SMG_Electric,S-感电弹
Item_Bullet_SMG_Space,S-空间弹
Item_Bullet_SMG_Dumdums,S-肉伤弹
Item_Bullet_AR_Rusted,AR-生锈弹
Item_Bullet_AR_Normal,AR-普通弹
Item_Bullet_AR_Burn,AR-燃烧弹
Item_Bullet_AR_Piercing3,AR-穿甲弹
Item_Bullet_AR_Piercing5,AR-高级穿甲弹
Item_Bullet_AR_Poison,AR-毒性弹
Item_Bullet_AR_Electric,AR-感电弹
Item_Bullet_AR_Space,AR-空间弹
Item_Bullet_AR_Dumdums,AR-肉伤弹
Item_Bullet_BR_Rusted,L-生锈弹
Item_Bullet_BR_Normal,L-普通弹
Item_Bullet_BR_Burn,L-燃烧弹
Item_Bullet_BR_Piercing3,L-中级穿甲弹
Item_Bullet_BR_Piercing5,L-高级穿甲弹
Item_Bullet_BR_Poison,L-毒性弹
Item_Bullet_BR_Electric,L-感电弹
Item_Bullet_BR_Space,L-空间弹
Item_Bullet_BR_Dumdums,L-肉伤弹
Item_Bullet_SNP_Rusted,生锈狙击弹
Item_Bullet_SNP_Normal,普通狙击弹
Item_Bullet_SNP_Burn,燃烧狙击弹
Item_Bullet_SNP_Piercing3,中级穿甲狙击弹
Item_Bullet_SNP_Piercing5,高级穿甲狙击弹
Item_Bullet_SNP_Poison,毒性狙击弹
Item_Bullet_SNP_Electric,感电狙击弹
Item_Bullet_SNP_Space,空间狙击弹
Item_Bullet_SNP_Dumdums,肉伤狙击弹
Item_Bullet_SHT_Rusted,生锈霰弹
Item_Bullet_SHT_Normal,普通霰弹
Item_Bullet_SHT_Burn,燃烧霰弹
Item_Bullet_SHT_Piercing3,中级穿甲霰弹
Item_Bullet_SHT_Piercing5,高级穿甲霰弹
Item_Bullet_SHT_Poison,毒性霰弹
Item_Bullet_SHT_Electric,感电霰弹
Item_Bullet_SHT_Space,空间霰弹
Item_Bullet_SHT_Dumdums,肉伤霰弹
Item_Bullet_MAG_Rusted,MAG-生锈弹
Item_Bullet_MAG_Normal,MAG-普通弹
Item_Bullet_MAG_Burn,MAG-燃烧弹
Item_Bullet_MAG_Piercing3,MAG-中级穿甲弹
Item_Bullet_MAG_Piercing5,MAG-高级穿甲弹
Item_Bullet_MAG_Poison,MAG-毒性弹
Item_Bullet_MAG_Electric,MAG-感电弹
Item_Bullet_MAG_Space,MAG-空间弹
Item_Bullet_MAG_Dumdums,MAG-肉伤弹
Item_Bullet_ARR_Normal,木矢
Item_Bullet_ARR_Explosion,爆炸矢
Item_Bullet_PWS_S,小能量弹
Item_Tec_Laser_CIT__1,激光-暴击
Item_AR_ADAR_Normal,ADAR 2-15
Item_AR_AUGA1_Normal,StG 77
Item_AR_AUGA3_Normal,StG 77A3
Item_SMG_MP5_Normal,MP5
Item_BR_SKS_Normal,SKS-45
Item_SHT_TOZ66_Normal,TOZ-66
Item_SHT_TOZ106_Normal,TOZ-106
Item_AR_VPO136_Normal,VPO-136
Item_SmokeGrenade,烟雾弹
Item_WeaponPartsLv2,中级武器零件
Item_WeaponPartsLv3,高级武器零件
Item_BP_ADAR,蓝图：ADAR 2-15
Item_BP_AUGA1,蓝图：StG 77
Item_BP_AUGA3,蓝图：StG 77A3
Item_BP_MP5,蓝图：MP5
Item_BP_SKS,蓝图：SKS
Item_BP_TOZ66,蓝图：TOZ-66
Item_BP_TOZ106,蓝图：TOZ-106
Item_BP_VPO136,蓝图：VPO-136
Item_BP_Bullet_BR_Normal,蓝图：普通重型弹
Item_BP_Bullet_SNP_Normal,蓝图：普通狙击弹蓝图
Item_BP_Bullet_SHT_Normal,蓝图：普通霰弹蓝图
Item_BP_Bullet_MAG_Normal,蓝图：普通反器材弹
Item_HeadsetLV1,耳机
Item_BR_VSS_Normal,VSS
Item_AR_ASVAL_Normal,AS Val
Item_AR_DTMDR556_Normal,DT MDR-556
Item_BR_DTMDR762_Normal,DT MDR-762
Item_Bullet_SMG_Piercing2,S-低级穿甲弹
Item_Bullet_SMG_Piercing4,S-中级穿甲弹
Item_Bullet_SMG_Piercing6,S-高级穿甲弹
Item_Bullet_SMG_Break,S-特种弹
Item_Bullet_AR_Piercing2,AR-低级穿甲弹
Item_Bullet_AR_Piercing4,AR-中级穿甲弹
Item_Bullet_AR_Piercing6,AR-高级穿甲弹
Item_Bullet_AR_Break,AR-碎甲弹
Item_Bullet_BR_Piercing2,L-低级穿甲弹
Item_Bullet_BR_Piercing4,L-中级穿甲弹
Item_Bullet_BR_Piercing6,L-高级穿甲弹
Item_Bullet_BR_Break,L-碎甲弹
Item_Bullet_SNP_Piercing2,低级穿甲狙击弹
Item_Bullet_SNP_Piercing4,中级穿甲狙击弹
Item_Bullet_SNP_Piercing6,高级穿甲狙击弹
Item_Bullet_SNP_Break,碎甲狙击弹
Item_Bullet_SHT_Piercing2,低级穿甲霰弹
Item_Bullet_SHT_Piercing4,中级穿甲霰弹
Item_Bullet_SHT_Piercing6,高级穿甲霰弹
Item_Bullet_SHT_Break,特种霰弹
Item_Bullet_MAG_Piercing2,MAG-低级穿甲弹
Item_Bullet_MAG_Piercing4,MAG-中级穿甲弹
Item_Bullet_MAG_Piercing6,MAG-高级穿甲弹
Item_Bullet_MAG_Break,MAG-碎甲弹
Item_Muzzle_PST_DAM__1,手枪增伤枪口II
Item_Muzzle_SMG_DAM__1,冲锋枪增伤枪口II
Item_Muzzle_AR_DAM__1,步枪增伤枪口II
Item_Muzzle_SNP_DAM__1,狙击枪增伤枪口II
Item_Muzzle_SHT_DAM__1,霰弹枪增伤枪口II
Item_Stock_SMG_SCA_4,冲锋枪腰射枪托II
